email_subject,email_content,sending_date,sending_time,day,url_title,coinedword,sender_name,sender_title,closing_remarks,sender_email,logo,to,label,sender_domain,clean_content,word_count,subject_length,body_length,link_count,has_link
IMPORTANT TAX RETURN DOCUMENT AVAILABLE,"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",01/06/2016,5:53:32 AM,unknown,http://example.com/PHISHING_TEST/row31,"TAX, W2, important",[redacted],,,[redacted_email],,[redacted],1,,"dear: account owner, our records indicate that you are enrolled in the university of california paperless w2 program. as a result, you do not receive a paper w2 but instead receive e-mail notification that your online w2 (i.e. ""paperless w2"") is prepared and ready for viewing. __ your w2 is ready for viewing under employee self service. logon at the following link: click here to logon if you have trouble logging in to employee self service at the link above, please contact your payroll department for support. if you would like to un-enroll in the paperless w2 program, please logon to employee self service at the link above and go to the w2 delivery choice webpage and follow the instructions.",120,39,700,0,0
"Re:
X-PHP-Originating-Script: 1336:NPS.php","Dear Dr. <recipient's name removed>;

I recently read your last article and it was very useful in my field of research. I wonder, if possible, to send me these articles to use in my current research:

1- http://auth.berkeley.eduh.in/<link removed>

2- http://www.sciencedirect.com/science/article/pii/S1644966515000825(link is external)

Thanks for you Cooperation in Advance.
John Doe
Department of Civil and Environmental Engineering University of Alberta
Phone: (XXX) XXX-XXXX
--21878cacb2d3a784678d12d61f1136d7--",unknown,unknown,Sat,URL,research,[redacted],Department of Civil and Environmental Engineering University of Alberta,Thanks for you Cooperation in Advance.,[redacted_email],,[redacted],0,ulberta.ca,"dear dr. <recipient's name removed>; i recently read your last article and it was very useful in my field of research. i wonder, if possible, to send me these articles to use in my current research: 1- urltoken removed> 2- urltoken is external) thanks for you cooperation in advance. john doe department of civil and environmental engineering university of alberta phone: (xxx) xxx-xxxx --21878cacb2d3a784678d12d61f1136d7--",64,42,423,3,1
Your account on the verge of closure !!,"Dear Client, Recently your account was reviewed and flagged because of a potential connection to some fraudulent transaction. To avoid an eventual restriction to your account, please verify your informations by logging in to our Litigations Manager.", 1/1/2016 ,5:47 AM,unknown,check my account,"fraudulent, transaction",[redacted],,,[redacted_email],Pay.service secure,[redacted],0,ppl.com,"dear client, recently your account was reviewed and flagged because of a potential connection to some fraudulent transaction. to avoid an eventual restriction to your account, please verify your informations by logging in to our litigations manager.",37,39,249,0,0
ÊURGENT: Your New Salary Notification,"Hello, You have an important email from the Human Resources Department with regards to your December 2015 Paycheck

This email is enclosed in the Marquette University secure network, hence access it below

Access the documents here <http://gabrielramon.be/<link removed>

***Ensure your login credentials are correct to avoid cancellations**

Faithfully
Human Resources
University of California, Berkeley",12/10/2015,7:22 AM,"   hTu,   ",URL,URGENT,[redacted],"Human Resources
University of California, Berkeley",Faithfully,[redacted_email],,[redacted],0,berkeley.edu,"hello, you have an important email from the human resources department with regards to your december 2015 paycheck this email is enclosed in the marquette university secure network, hence access it below access the documents here < urltoken removed> ***ensure your login credentials are correct to avoid cancellations** faithfully human resources university of california, berkeley",55,37,381,1,1
REQUEST,,"july 16th, 2019",5.22.48PM EDT,unknown,http://example.com/PHISHING_TEST/row35,"Request, gift card",[redacted],,,[redacted_email],,[redacted],1,,,0,7,0,0,0
Lesson Coach Needed,Some hiring stuffs for coach,"July 16th, 2019",12.50pm,Tue,http://example.com/PHISHING_TEST/row36,"Needed, employment hire",[redacted],Colman,Regard,[redacted_email],,[redacted],1,y,some hiring stuffs for coach,5,19,28,0,0
"Caller from Kent Admin on 16 July, 2019",call missed,"July 16th, 2019",5.12pm,Tue,http://example.com/PHISHING_TEST/row37,hiring,[redacted],Kent support,Regrads,[redacted_email],Microsoft,[redacted],1,y,call missed,2,39,11,0,0
REPLY AS SOON AS POSSIBLE,"Bank, important matter to discuss with late client who is dead. Asking for full detail information","July 14th, 2019",11.33am,sun,http://example.com/PHISHING_TEST/row38,important,[redacted],,Regards,[redacted_email],Na,[redacted],1,y,"bank, important matter to discuss with late client who is dead. asking for full detail information",16,25,98,0,0
V M 123310719,call missed,"July 10th, 2019",3.29pm,unknown,http://example.com/PHISHING_TEST/row39,missed call,[redacted],,,[redacted_email],"Microsoft, Office 365",[redacted],1,y,call missed,2,13,11,0,0
 inviting you to collaborate on filess ,some shred document,"July 10th, 2019",7.56pm,wed,http://example.com/PHISHING_TEST/row40,shared,[redacted],,,[redacted_email],Microsoft,[redacted],1,,some shred document,3,39,19,0,0
VM Message attached,call missed,"July 9th, 2019",12.37pm,TUE,http://example.com/PHISHING_TEST/row41,missed call,[redacted],,,[redacted_email],Office 365,[redacted],1,,call missed,2,19,11,0,0
ÊVerification Process.,"account verification, microsoft account in kent","July 8th, 2019",8.55am,mon,http://example.com/PHISHING_TEST/row42,"verification, access",[redacted],,Cheers,[redacted_email],,[redacted],1,y,"account verification, microsoft account in kent",6,22,47,0,0
Audio received,audio,07/08/2019,2.09 pm,mon,http://example.com/PHISHING_TEST/row43,audio,[redacted],kent support,,[redacted_email],,[redacted],1,,audio,1,14,5,0,0
I AM ASKING FOR YOUR SUPPORT.,Someone lost lifr in Libyan civil war. Help kin,"ÊJuly 5th, 2019",3.18PM,Fri,http://example.com/PHISHING_TEST/row44,support,[redacted],,,[redacted_email],,[redacted],1,,someone lost lifr in libyan civil war. help kin,9,29,47,0,0
,shared docx,"June 27th, 2019",11.55.54 AM,unknown,http://example.com/PHISHING_TEST/row45,shared,[redacted],,,[redacted_email],microsoft word,[redacted],1,,shared docx,2,0,11,0,0
fILE HAS BEEN DAMAGED,shared docx,"june 27th, 2019",4.56am,thur,http://example.com/PHISHING_TEST/row46,damaged,[redacted],,,[redacted_email],Google Drive,[redacted],1,,shared docx,2,21,11,0,0
Kent-Outlook E-Ticket:#JKf1SB3YW5 for @k****edu.,"confirm with microsift, account","June 25th, 2019",1.44am,tue,http://example.com/PHISHING_TEST/row47,confirm,[redacted],,,[redacted_email],Microsoft,[redacted],1,,"confirm with microsift, account",4,48,31,0,0
Faculty Evaluation.docx,  faculty evalutaion  ,unknown,10.49am,tue,http://example.com/PHISHING_TEST/row48,evaluation,[redacted],ITS service,,[redacted_email],microsoft ward,[redacted],1,,faculty evalutaion,2,23,18,0,0
Missed Call,called missed,"ÊJune 21st, 2019",  15.4pm ,fri,http://example.com/PHISHING_TEST/row49,unknown,[redacted],,,[redacted_email],,[redacted],1,,called missed,2,11,13,0,0
TESTi1,"english speaking editor, professional guide, correcting","   JUNE 20, 2019   ",unknown,unknown,,"editor, service",[redacted],,"Best Regards,",[redacted_email],,[redacted],1,,"english speaking editor, professional guide, correcting",6,6,55,0,0
ÊClustered Alert ID 130423046,some pending message,"June 20th, 2019",unknown,thur,http://example.com/PHISHING_TEST/row51,unknown,[redacted],,"Best Regards,",[redacted_email],  microosft   ,[redacted],1,y,some pending message,3,29,20,0,0
"Agriculture Department shared ""Document"" with you.",internal dept shared document,"ÊJune 20th, 2019",10.24.01 am,thur,http://example.com/PHISHING_TEST/row53,"shared, document",[redacted],,,[redacted_email],,[redacted],1,,internal dept shared document,4,50,29,0,0
Advertise While Driving Your Car,job opportuniies and looking for candidate,"June 19th, 2019",1.27pm,wed,http://example.com/PHISHING_TEST/row54,"hiring, ",[redacted],      n a    ,,[redacted_email],,[redacted],1,,job opportuniies and looking for candidate,6,32,42,0,0
Payroll Changes made was successful,chnages in payroll information,"ÊJune 17th, 2019",4.19pm,mon,http://example.com/PHISHING_TEST/row55,"payroll, changes, access, authenticated",[redacted],,Thank you,[redacted_email],,[redacted],1,,chnages in payroll information,4,35,30,0,0
 Office 6/17/2019 11:65:18 AM ,office 465 subscription exrired and. Validation stuff,"June 17Th, 2019",5.57Am,mon,http://example.com/PHISHING_TEST/row56,"expire, request,subscritption, validation",[redacted],,,[redacted_email],Office 365,[redacted],1,,office 465 subscription exrired and. validation stuff,7,30,53,0,0
 office 365 password about to expire,office 465 subscription exrired and. Validation stuff,"June 17th, 2019",8.08pm,mon,http://example.com/PHISHING_TEST/row57,"expire, password, subscription, hold",[redacted],office 365 Customer Service,Thank you,[redacted_email],offcie 365,[redacted],1,y,office 465 subscription exrired and. validation stuff,7,36,53,0,0
Information.docx,file has been shared In docx,"June 17th, 2019",11.50am,mon,http://example.com/PHISHING_TEST/row58,"file, share,docx",[redacted],,,[redacted_email],docx,[redacted],1,,file has been shared in docx,6,16,28,0,0
"Assalamualaikum My Dear Friend,","politiics, legal iisues to retire , million doller to bank, profit","ÊJune 17th, 2019",3.11pm,mon,http://example.com/PHISHING_TEST/row59,"profit, bank, dollar, million, confirmation",[redacted],,thank with my best regards,[redacted_email],,[redacted],1,,"politiics, legal iisues to retire , million doller to bank, profit",11,31,66,0,0
ÊYou have (15) notification message from your faculty admin,notification message from faculty admin," june 14ht, 2019  ",11.59am,   fri  ,http://example.com/PHISHING_TEST/row60,"notification, admin, faculty",[redacted],Y,Thanks,[redacted_email],,[redacted],1,y,notification message from faculty admin,5,59,39,0,0
 Verification Required: Validate Service Request for Kent,email update required and confirm now,"June 13Th, 2019",1.06pm,thur,http://example.com/PHISHING_TEST/row61,"update, required, confirm, disable, suspense, ",[redacted],Y,Thanks,[redacted_email],offcie 365,[redacted],1,y,email update required and confirm now,6,57,37,0,0
"Account Activity Request on 13 June, 2019",ms account activation and validation ,"JUNE 13TH, 2019",12.50pm,thur,   http://example.com/PHISHING_ETST/row62   ,"activation, validate, immidiate, request",[redacted],,Regrads,[redacted_email],microsoft,[redacted],1,y,ms account activation and validation,5,41,36,0,0
Audio_Message from ext. 4783,audio,"June 12th, 2019",11.16AM,wed,http://example.com/PHISHING_TEST/row63,unknown,[redacted],Y,,[redacted_email],,[redacted],1,y,audio,1,28,5,0,0
KENT.EDU EMAIL DEACTIVATION REQUEST,Made Request To Deactivate Your Account ,"June 11th, 2019",10.50om,tue,http://example.com/PHISHING_TEST/row64,"deactivate,request",[redacted],Y,Thanking you,[redacted_email],,[redacted],1,y,made request to deactivate your account,6,35,39,0,0
Êmissed Call,caller left a message for you,"June 11th, 2019",1.12 PM,tue,http://example.com/PHISHING_TEST/row65,message,[redacted],,,[redacted_email],,[redacted],1,,caller left a message for you,6,12,29,0,0
,money for cancer diagnosied,"June 11th, 2019",8.35am,tue,http://example.com/PHISHING_TEST/row66,unknown,[redacted],,,[redacted_email],,[redacted],1,,money for cancer diagnosied,4,0,27,0,0
please update ppayment,"update payment  and payment declined, ","June 10th, 2019",8.50am,mon,http://example.com/PHISHING_TEST/row67,"decline, update, payment, failed",[redacted],   Y  ,S.incerely,[redacted_email],,[redacted],1,,"update payment and payment declined,",5,22,36,0,0
Work Code of Conduct,work conduct for employee in an institution,"JUNE 3RD, 2019",7.36pm,mon,,"HR, code, employment",[redacted],Y,"Regards,",[redacted_email],,[redacted],1,y,work conduct for employee in an institution,7,20,43,0,0
Incoming Email issues,,unknown,7.48am,mon,,"issues, email, account,recover, hold",[redacted],y,sincerely,[redacted_email],Office365,[redacted],1,y,,0,21,0,0,0
ÊYour PayPal Payment Receipt of $649.99 to **MCAFEE LLC,"statement of payment , transaction details and log into PayPal account  ","June 2nd, 2019",8.39.55am EDT,unknown,http://example.com/PHISHING_TEST/row70,"transaction, payment, account",[redacted],Y,,[redacted_email],PayPal,[redacted],1,y,"statement of payment , transaction details and log into paypal account",11,55,70,0,0
Pet Sitter Needed,"I need someone to look after my pet, $350 weekly","May 29th, 2019",5.53 pm,wed,http://example.com/PHISHING_TEST/row71,"needed, ad, ",[redacted],Y,"Thanks,",[redacted_email],,[redacted],1,,"i need someone to look after my pet, $350 weekly",10,17,48,0,0
Update ID: Review Message,need to validate account ,"ÊMay 23rd, 2019",unknown,unknown,http://example.com/PHISHING_TEST/row73,"   validate, requestu,pdate   ",[redacted],Y,,[redacted_email],,[redacted],1,y,need to validate account,4,25,24,0,0
We Need Your Confirmation,fund in office that we like to make some clarification,"May 22nd, 2019",7.42.13 am,wed,http://example.com/PHISHING_TEST/row74,"confirmation, ",[redacted],Y,Yours in Servic,[redacted_email],,[redacted],1,y,fund in office that we like to make some clarification,10,25,54,0,0
Email Security Alert,email storage exceeded the limit and need to upgrade immidiately. ,"May 22nd, 2019",8.36 am,wed,http://example.com/PHISHING_TEST/row75,"exceeded, upgraded, alert, secuirty, data lost,immidiately",[redacted],Y,,[redacted_email],,[redacted],1,y,email storage exceeded the limit and need to upgrade immidiately.,10,20,65,0,0
Doc___gn Received : ScannedAgreementDOC012.Pdf,doc shared,"May 21st, 2019",3.30pm,tue,http://example.com/PHISHING_TEST/row76,shared,[redacted],Y,"Thank you,",[redacted_email],Docx,[redacted],1,y,doc shared,2,46,10,0,0
Employment Opportunity,,unknown,8.17pm,mon,http://example.com/PHISHING_TEST/row77,"employment, immidiately",[redacted],Y,,[redacted_email],,[redacted],1,y,,0,22,0,0,0
Puppy Sitter:,need puppy sitter ,"ÊMay 16th, 2019", 7.47ma ,thur,HTTP://EXAMPLE.COM/PHISHING_TEST/ROW78,"employment, ",[redacted],Y,,[redacted_email],,[redacted],1,y,need puppy sitter,3,13,17,0,0
Payment receipt,remittance advice for payment ,unknown,12.20pm,thur,http://example.com/PHISHING_TEST/row79,payment,[redacted],Y,,[redacted_email],,[redacted],1,y,remittance advice for payment,4,15,29,0,0
   ÊBusiness/Partnreship   ,deal and interest in business,"May 10th, 2019",1.13am,fri,http://example.com/PHISHING_TEST/row80,benefits,[redacted],Y,Sincerely,[redacted_email],,[redacted],1,y,deal and interest in business,5,27,29,0,0
SCAN5655,shared file,"ÊMay 9th, 2019",12.00pm,thur,http://example.com/PHISHING_TEST/row81,share,[redacted],Y,,[redacted_email],,[redacted],1,y,shared file,2,8,11,0,0
FW: Action Required: Update your payment information now,payment against office 365 subscription was failed,"May 8th, 2019",9.04pm,wed,http://example.com/PHISHING_TEST/row82,"failed, subscription, payment,admin, update,remove,request",[redacted],Y,Regards,[redacted_email],,[redacted],1,,payment against office 365 subscription was failed,7,56,50,0,0
ÊFW: Action Required: Update your payment information now,payment declined for office 365,"May 8th, 2019",7.52pm,unknown,,"UPDATE, DECLINED, PAYMENT, ",[redacted],,"Sincerely,",[redacted_email],,[redacted],1,,payment declined for office 365,5,57,31,0,0
Due Invoice 10355697 From Cortland Line Company,,"May 6th, 2019",12.04 pm,unknown,http://example.com/PHISHING_TEST/row84,"invoice, payment",[redacted],Y,,[redacted_email],,[redacted],1,,,0,47,0,0,0
,"donating, lottery winner","May 4th, 2019",1.30 am,unknown,http://example.com/PHISHING_TEST/row85,"pay, money",[redacted],Y,,[redacted_email],,[redacted],1,y,"donating, lottery winner",3,0,24,0,0
KSU Email Notification,email notification regarding fedaral law violation and identity and verification,"May 3rd, 2019",6.09PM,Fri,http://example.com/PHISHING_TEST/row86,"verificationerror, violates, ",[redacted],,"Sincerely,",[redacted_email],,[redacted],1,y,email notification regarding fedaral law violation and identity and verification,10,22,80,0,0
"ÊDear Web-mail User,","remail pending for database upgrade, validate emial account","ÊMay 3rd, 2019",6.39PM,fri,http://example.com/PHISHING_TEST/row87,"validate, required, upgrade, ",[redacted],,Thanks,[redacted_email],,[redacted],1,y,"remail pending for database upgrade, validate emial account",8,20,59,0,0
Remittance Payment Advice,attched payment details,"May 2nd, 2019",12.42pm,thur,http://example.com/PHISHING_TEST/row88,payment,[redacted],Na,Regards,[redacted_email],,[redacted],1,,attched payment details,3,25,23,0,0
Nancy Smith is inviting you to collaborate on Project Docs,Project docs,"May 2nd, 2019",11.15.53AM,thur,http://example.com/PHISHING_TEST/row89,"project, education",[redacted],,Thanks,[redacted_email],Microsoft,[redacted],1,na,project docs,2,58,12,0,0
Project LR342 Quote Request,"project work share, collaboration","ÊMay 1st, 2019",7.14am,wed,http://example.com/PHISHING_TEST/row90,"peoject, education, request",[redacted],,,[redacted_email],,[redacted],1,,"project work share, collaboration",4,27,33,0,0
ÊPet Sitter Job,job pet sitter,unknown,11.53am,wed,http://example.com/PHISHING_TEST/row91,employment,[redacted],,,[redacted_email],,[redacted],1,,job pet sitter,3,15,14,0,0
"Kent Validation Request on May 01, 2019, 03:00 AM","secuirty update, recommend to validate","ÊMay 1st, 2019",03.00am,unknown,http://example.com/PHISHING_TEST/row92,"security, validate, request",[redacted],Y,Regards,[redacted_email],Microsofr,[redacted],1,y,"secuirty update, recommend to validate",5,49,38,0,0
(1) Your account has been limited. ID: #R5131.6D9R406MH,office account has limited for payment failing,"April 30th, 2019",5.12.30pm,tue,http://example.com/PHISHING_TEST/row93,"LIMITED, VALIDATE, ACCOUNT,FAILED,TRANSACTION",[redacted],Y,"Best Regards,",[redacted_email],office 365,[redacted],1,y,office account has limited for payment failing,7,55,46,0,0
ADVICE OF DEBIT - BANK CONFIDENTIAL,schedule payment in bank in personal checkin account,"APRIL 29TH, 2019",12.03pm,mon,http://example.com/PHISHING_TEST/row94,"payment,account, confidential",[redacted],Y,"Respectfully yours,",[redacted_email],,[redacted],1,y,schedule payment in bank in personal checkin account,8,35,52,0,0
Message - Time 0:55 Seconds,ausio attached with link,"ÊApril 26th, 2019",1.23,fri,http://example.com/PHISHING_TEST/row95,unknown,[redacted],Y,,[redacted_email],,[redacted],1,y,ausio attached with link,4,27,24,0,0
ÊKent Admin #O38A3S#,mandatory account review process,"April 26th, 2019",2.37pm,Fri,http://example.com/PHISHING_TEST/row96,"mandatory, acount, require, admin, incorrect",[redacted],Y,,[redacted_email],Microsoft,[redacted],1,y,mandatory account review process,4,20,32,0,0
Invoice For Service,invoiced for completed work,"ÊApril 26th, 2019",12.00pm,Fri,http://example.com/phishing_test/row97,"invoice, payment",[redacted],Y,,[redacted_email],,[redacted],1,y,invoiced for completed work,4,19,27,0,0
P_nd_ng Document,onedrive pending doc,"ÊApril 25th, 2019",10.20am,thur,http://example.com/PHISHING_TEST/row98,document,[redacted],Y,,[redacted_email],,[redacted],1,y,onedrive pending doc,3,16,20,0,0
Ê[IMPORTANCE] Login Review Required On Kent Email Account,,"ÊApril 25th, 2019",10.15.29am EDT,unknown,,"verify, account,interruption",[redacted],Y,,[redacted_email],Microsoft,[redacted],1,y,,0,57,0,0,0
ÊPaperWorks,document sharepoint,"April 23rd, 2019",2.41pm,tue,http://example.com/PHISHING_TEST/row100,"share, education, ",[redacted],Y,"SINCERELY,",[redacted_email],sSharePoint,[redacted],1,,document sharepoint,2,11,19,0,0
